scenario,stage,vwap_eur_mwh,active_volume_mwh,active_mtus
Baseline,DAM,147.5250080921101,11389.366758,48
Baseline,IDA1,150.47280858776713,1417.6435861075797,48
Baseline,IDA2,145.8853815648524,650.994332417034,44
Baseline,IDA3,147.44684544253568,466.5275728425758,44
Low RES,DAM,147.4045618233273,11389.366758,48
Low RES,IDA1,151.76646931821293,1330.711231150292,48
Low RES,IDA2,145.59832746423865,631.9539354777891,44
Low RES,IDA3,146.92869285928066,456.174627773125,44
High RES,DAM,146.04347566026902,11389.366758,48
High RES,IDA1,147.85059968097147,1622.3182043084526,48
High RES,IDA2,144.43453320531296,693.7784245752252,46
High RES,IDA3,146.59194927877442,532.5955421485814,46
High demand,DAM,149.15198329932724,13175.620719999999,48
High demand,IDA1,151.65092545354636,1591.534034346537,48
High demand,IDA2,145.43915884596225,790.242022955613,40
High demand,IDA3,148.4549321763076,547.3198546703817,42
No revision,DAM,147.5250080921101,11389.366758,48
No revision,IDA1,,0,0
No revision,IDA2,,0,0
No revision,IDA3,,0,0
Double revision,DAM,147.5250080921101,11389.366758,48
Double revision,IDA1,150.7886331892766,2747.80328985758,48
Double revision,IDA2,145.53426376635343,1284.5751947490428,42
Double revision,IDA3,146.71020977645352,900.03425906145,42
Reverse revision,DAM,147.5250080921101,11389.366758,48
Reverse revision,IDA1,142.51456091948418,1411.3378897782957,48
Reverse revision,IDA2,151.05841863193243,417.6429681039893,46
Reverse revision,IDA3,150.02280369537556,517.7230765799799,48
