scenario,stage,participant,period,target_mwh
Baseline,DAM,IND,1,-74.4272491125
Baseline,DAM,IND,2,-74.4272491125
Baseline,DAM,IND,3,-74.4272491125
Baseline,DAM,IND,4,-74.4272491125
Baseline,DAM,IND,5,-74.4272491125
Baseline,DAM,IND,6,-74.4272491125
Baseline,DAM,IND,7,-74.4272491125
Baseline,DAM,IND,8,-74.4272491125
Baseline,DAM,IND,9,-74.4272491125
Baseline,DAM,IND,10,-74.4272491125
Baseline,DAM,IND,11,-74.4272491125
Baseline,DAM,IND,12,-74.4272491125
Baseline,DAM,IND,13,-74.4272491125
Baseline,DAM,IND,14,-74.4272491125
Baseline,DAM,IND,15,-74.4272491125
Baseline,DAM,IND,16,-74.4272491125
Baseline,DAM,IND,17,-74.4272491125
Baseline,DAM,IND,18,-74.4272491125
Baseline,DAM,IND,19,-74.4272491125
Baseline,DAM,IND,20,-74.4272491125
Baseline,DAM,IND,21,-74.4272491125
Baseline,DAM,IND,22,-74.4272491125
Baseline,DAM,IND,23,-74.4272491125
Baseline,DAM,IND,24,-74.4272491125
Baseline,DAM,IND,25,-74.4272491125
Baseline,DAM,IND,26,-74.4272491125
Baseline,DAM,IND,27,-74.4272491125
Baseline,DAM,IND,28,-74.4272491125
Baseline,DAM,IND,29,-74.4272491125
Baseline,DAM,IND,30,-74.4272491125
Baseline,DAM,IND,31,-74.4272491125
Baseline,DAM,IND,32,-74.4272491125
Baseline,DAM,IND,33,-74.4272491125
Baseline,DAM,IND,34,-74.4272491125
Baseline,DAM,IND,35,-74.4272491125
Baseline,DAM,IND,36,-74.4272491125
Baseline,DAM,IND,37,-74.4272491125
Baseline,DAM,IND,38,-74.4272491125
Baseline,DAM,IND,39,-74.4272491125
Baseline,DAM,IND,40,-74.4272491125
Baseline,DAM,IND,41,-74.4272491125
Baseline,DAM,IND,42,-74.4272491125
Baseline,DAM,IND,43,-74.4272491125
Baseline,DAM,IND,44,-74.4272491125
Baseline,DAM,IND,45,-74.4272491125
Baseline,DAM,IND,46,-74.4272491125
Baseline,DAM,IND,47,-74.4272491125
Baseline,DAM,IND,48,-74.4272491125
Baseline,DAM,COM,1,-60.56652230208813
Baseline,DAM,COM,2,-60.77421784278795
Baseline,DAM,COM,3,-59.138494916616544
Baseline,DAM,COM,4,-59.625465803459846
Baseline,DAM,COM,5,-55.270449918835375
Baseline,DAM,COM,6,-56.24619528320141
Baseline,DAM,COM,7,-51.590065224133845
Baseline,DAM,COM,8,-53.29377019507272
Baseline,DAM,COM,9,-51.794759059888676
Baseline,DAM,COM,10,-54.5056557639328
Baseline,DAM,COM,11,-57.382681644330866
Baseline,DAM,COM,12,-61.31875564953915
Baseline,DAM,COM,13,-68.58549924092036
Baseline,DAM,COM,14,-73.66674431340392
Baseline,DAM,COM,15,-74.94663542018596
Baseline,DAM,COM,16,-80.00251119071278
Baseline,DAM,COM,17,-76.1406289517498
Baseline,DAM,COM,18,-80.22506645640867
Baseline,DAM,COM,19,-62.323968196476734
Baseline,DAM,COM,20,-64.70123484335566
Baseline,DAM,COM,21,-61.708356315117186
Baseline,DAM,COM,22,-63.16758075329857
Baseline,DAM,COM,23,-63.04580432264047
Baseline,DAM,COM,24,-63.68597524524273
Baseline,DAM,COM,25,-67.53183943924464
Baseline,DAM,COM,26,-67.26675714712944
Baseline,DAM,COM,27,-67.05740223967256
Baseline,DAM,COM,28,-65.65475537180485
Baseline,DAM,COM,29,-72.75506123448443
Baseline,DAM,COM,30,-69.63273591656166
Baseline,DAM,COM,31,-87.17730985552184
Baseline,DAM,COM,32,-81.07336924991874
Baseline,DAM,COM,33,-96.76063818680053
Baseline,DAM,COM,34,-87.25460480117506
Baseline,DAM,COM,35,-99.09812396906942
Baseline,DAM,COM,36,-87.2524374386906
Baseline,DAM,COM,37,-87.18530284385142
Baseline,DAM,COM,38,-76.27939125187322
Baseline,DAM,COM,39,-69.7479182140229
Baseline,DAM,COM,40,-62.124157133714
Baseline,DAM,COM,41,-56.39461431167897
Baseline,DAM,COM,42,-52.3094530850515
Baseline,DAM,COM,43,-47.89708773554485
Baseline,DAM,COM,44,-46.812481629989264
Baseline,DAM,COM,45,-42.955776014774955
Baseline,DAM,COM,46,-44.04199359539533
Baseline,DAM,COM,47,-40.54061471343947
Baseline,DAM,COM,48,-42.85534820280739
Baseline,DAM,RES,1,-140.2779239854119
Baseline,DAM,RES,2,-140.0702284447121
Baseline,DAM,RES,3,-135.2536797708834
Baseline,DAM,RES,4,-134.76670888404013
Baseline,DAM,RES,5,-122.74380616866463
Baseline,DAM,RES,6,-121.76806080429859
Baseline,DAM,RES,7,-107.76709366336617
Baseline,DAM,RES,8,-106.06338869242731
Baseline,DAM,RES,9,-96.76300762761133
Baseline,DAM,RES,10,-94.0521109235672
Baseline,DAM,RES,11,-89.96768404316914
Baseline,DAM,RES,12,-86.03161003796089
Baseline,DAM,RES,13,-85.01897184657967
Baseline,DAM,RES,14,-79.9377267740961
Baseline,DAM,RES,15,-70.82188786731405
Baseline,DAM,RES,16,-65.76601209678724
Baseline,DAM,RES,17,-54.6082293357502
Baseline,DAM,RES,18,-50.523791831091344
Baseline,DAM,RES,19,-34.79611049102329
Baseline,DAM,RES,20,-32.41884384414435
Baseline,DAM,RES,21,-28.158500572382813
Baseline,DAM,RES,22,-26.699276134201423
Baseline,DAM,RES,23,-25.161634964859523
Baseline,DAM,RES,24,-24.521464042257268
Baseline,DAM,RES,25,-25.692332448255375
Baseline,DAM,RES,26,-25.957414740370563
Baseline,DAM,RES,27,-26.996339247827446
Baseline,DAM,RES,28,-28.39898611569516
Baseline,DAM,RES,29,-34.827954253015584
Baseline,DAM,RES,30,-37.95027957093836
Baseline,DAM,RES,31,-55.49685923197818
Baseline,DAM,RES,32,-61.60079983758127
Baseline,DAM,RES,33,-89.2215219006995
Baseline,DAM,RES,34,-98.72755528632494
Baseline,DAM,RES,35,-138.3259943184306
Baseline,DAM,RES,36,-150.17168084880944
Baseline,DAM,RES,37,-183.86719784364857
Baseline,DAM,RES,38,-194.77310943562676
Baseline,DAM,RES,39,-211.89634047347712
Baseline,DAM,RES,40,-219.52010155378602
Baseline,DAM,RES,41,-225.55089417582107
Baseline,DAM,RES,42,-229.63605540244848
Baseline,DAM,RES,43,-223.37624955195523
Baseline,DAM,RES,44,-224.46085565751073
Baseline,DAM,RES,45,-205.33134527272512
Baseline,DAM,RES,46,-204.24512769210472
Baseline,DAM,RES,47,-178.40883697406053
Baseline,DAM,RES,48,-176.09410348469257
Baseline,DAM,PV_C,1,0.0
Baseline,DAM,PV_C,2,0.0
Baseline,DAM,PV_C,3,0.0
Baseline,DAM,PV_C,4,0.0
Baseline,DAM,PV_C,5,0.0
Baseline,DAM,PV_C,6,0.0
Baseline,DAM,PV_C,7,0.0
Baseline,DAM,PV_C,8,0.0
Baseline,DAM,PV_C,9,0.0
Baseline,DAM,PV_C,10,0.0
Baseline,DAM,PV_C,11,0.0
Baseline,DAM,PV_C,12,0.0
Baseline,DAM,PV_C,13,5.99e-05
Baseline,DAM,PV_C,14,5.99e-05
Baseline,DAM,PV_C,15,4.555686
Baseline,DAM,PV_C,16,4.555686
Baseline,DAM,PV_C,17,22.0958468
Baseline,DAM,PV_C,18,22.0958468
Baseline,DAM,PV_C,19,41.317848
Baseline,DAM,PV_C,20,41.317848
Baseline,DAM,PV_C,21,51.3895444
Baseline,DAM,PV_C,22,51.3895444
Baseline,DAM,PV_C,23,55.3400937
Baseline,DAM,PV_C,24,55.3400937
Baseline,DAM,PV_C,25,54.6708674
Baseline,DAM,PV_C,26,54.6708674
Baseline,DAM,PV_C,27,49.9864034
Baseline,DAM,PV_C,28,49.9864034
Baseline,DAM,PV_C,29,39.5053727
Baseline,DAM,PV_C,30,39.5053727
Baseline,DAM,PV_C,31,22.5380045
Baseline,DAM,PV_C,32,22.5380045
Baseline,DAM,PV_C,33,6.0143513
Baseline,DAM,PV_C,34,6.0143513
Baseline,DAM,PV_C,35,0.0
Baseline,DAM,PV_C,36,0.0
Baseline,DAM,PV_C,37,0.0
Baseline,DAM,PV_C,38,0.0
Baseline,DAM,PV_C,39,0.0
Baseline,DAM,PV_C,40,0.0
Baseline,DAM,PV_C,41,0.0
Baseline,DAM,PV_C,42,0.0
Baseline,DAM,PV_C,43,0.0
Baseline,DAM,PV_C,44,0.0
Baseline,DAM,PV_C,45,0.0
Baseline,DAM,PV_C,46,0.0
Baseline,DAM,PV_C,47,0.0
Baseline,DAM,PV_C,48,0.0
Baseline,DAM,PV_A,1,0.0
Baseline,DAM,PV_A,2,0.0
Baseline,DAM,PV_A,3,0.0
Baseline,DAM,PV_A,4,0.0
Baseline,DAM,PV_A,5,0.0
Baseline,DAM,PV_A,6,0.0
Baseline,DAM,PV_A,7,0.0
Baseline,DAM,PV_A,8,0.0
Baseline,DAM,PV_A,9,0.0
Baseline,DAM,PV_A,10,0.0
Baseline,DAM,PV_A,11,0.0
Baseline,DAM,PV_A,12,0.0
Baseline,DAM,PV_A,13,5.99e-05
Baseline,DAM,PV_A,14,5.99e-05
Baseline,DAM,PV_A,15,4.555686
Baseline,DAM,PV_A,16,4.555686
Baseline,DAM,PV_A,17,22.0958468
Baseline,DAM,PV_A,18,22.0958468
Baseline,DAM,PV_A,19,41.317848
Baseline,DAM,PV_A,20,41.317848
Baseline,DAM,PV_A,21,51.3895444
Baseline,DAM,PV_A,22,51.3895444
Baseline,DAM,PV_A,23,55.3400937
Baseline,DAM,PV_A,24,55.3400937
Baseline,DAM,PV_A,25,54.6708674
Baseline,DAM,PV_A,26,54.6708674
Baseline,DAM,PV_A,27,49.9864034
Baseline,DAM,PV_A,28,49.9864034
Baseline,DAM,PV_A,29,39.5053727
Baseline,DAM,PV_A,30,39.5053727
Baseline,DAM,PV_A,31,22.5380045
Baseline,DAM,PV_A,32,22.5380045
Baseline,DAM,PV_A,33,6.0143513
Baseline,DAM,PV_A,34,6.0143513
Baseline,DAM,PV_A,35,0.0
Baseline,DAM,PV_A,36,0.0
Baseline,DAM,PV_A,37,0.0
Baseline,DAM,PV_A,38,0.0
Baseline,DAM,PV_A,39,0.0
Baseline,DAM,PV_A,40,0.0
Baseline,DAM,PV_A,41,0.0
Baseline,DAM,PV_A,42,0.0
Baseline,DAM,PV_A,43,0.0
Baseline,DAM,PV_A,44,0.0
Baseline,DAM,PV_A,45,0.0
Baseline,DAM,PV_A,46,0.0
Baseline,DAM,PV_A,47,0.0
Baseline,DAM,PV_A,48,0.0
Baseline,DAM,W_C,1,1.472743367
Baseline,DAM,W_C,2,1.472743367
Baseline,DAM,W_C,3,1.53758110925
Baseline,DAM,W_C,4,1.53758110925
Baseline,DAM,W_C,5,2.13501474
Baseline,DAM,W_C,6,2.13501474
Baseline,DAM,W_C,7,2.8852802175000005
Baseline,DAM,W_C,8,2.8852802175000005
Baseline,DAM,W_C,9,2.0956489525
Baseline,DAM,W_C,10,2.0956489525
Baseline,DAM,W_C,11,1.4588495735
Baseline,DAM,W_C,12,1.4588495735
Baseline,DAM,W_C,13,1.5398967415
Baseline,DAM,W_C,14,1.5398967415
Baseline,DAM,W_C,15,1.12655605125
Baseline,DAM,W_C,16,1.12655605125
Baseline,DAM,W_C,17,0.76994837075
Baseline,DAM,W_C,18,0.76994837075
Baseline,DAM,W_C,19,0.70742626075
Baseline,DAM,W_C,20,0.70742626075
Baseline,DAM,W_C,21,0.389026532
Baseline,DAM,W_C,22,0.389026532
Baseline,DAM,W_C,23,0.20609142725
Baseline,DAM,W_C,24,0.20609142725
Baseline,DAM,W_C,25,0.23156342125
Baseline,DAM,W_C,26,0.23156342125
Baseline,DAM,W_C,27,0.1586209465
Baseline,DAM,W_C,28,0.1586209465
Baseline,DAM,W_C,29,0.188724205
Baseline,DAM,W_C,30,0.188724205
Baseline,DAM,W_C,31,0.39018436775
Baseline,DAM,W_C,32,0.39018436775
Baseline,DAM,W_C,33,1.06056047325
Baseline,DAM,W_C,34,1.06056047325
Baseline,DAM,W_C,35,1.2955973625
Baseline,DAM,W_C,36,1.2955973625
Baseline,DAM,W_C,37,0.885730101
Baseline,DAM,W_C,38,0.885730101
Baseline,DAM,W_C,39,0.57890857275
Baseline,DAM,W_C,40,0.57890857275
Baseline,DAM,W_C,41,0.42028762625
Baseline,DAM,W_C,42,0.42028762625
Baseline,DAM,W_C,43,0.552278743
Baseline,DAM,W_C,44,0.552278743
Baseline,DAM,W_C,45,0.61248526
Baseline,DAM,W_C,46,0.61248526
Baseline,DAM,W_C,47,0.596275795
Baseline,DAM,W_C,48,0.596275795
Baseline,DAM,W_A,1,1.472743367
Baseline,DAM,W_A,2,1.472743367
Baseline,DAM,W_A,3,1.53758110925
Baseline,DAM,W_A,4,1.53758110925
Baseline,DAM,W_A,5,2.13501474
Baseline,DAM,W_A,6,2.13501474
Baseline,DAM,W_A,7,2.8852802175000005
Baseline,DAM,W_A,8,2.8852802175000005
Baseline,DAM,W_A,9,2.0956489525
Baseline,DAM,W_A,10,2.0956489525
Baseline,DAM,W_A,11,1.4588495735
Baseline,DAM,W_A,12,1.4588495735
Baseline,DAM,W_A,13,1.5398967415
Baseline,DAM,W_A,14,1.5398967415
Baseline,DAM,W_A,15,1.12655605125
Baseline,DAM,W_A,16,1.12655605125
Baseline,DAM,W_A,17,0.76994837075
Baseline,DAM,W_A,18,0.76994837075
Baseline,DAM,W_A,19,0.70742626075
Baseline,DAM,W_A,20,0.70742626075
Baseline,DAM,W_A,21,0.389026532
Baseline,DAM,W_A,22,0.389026532
Baseline,DAM,W_A,23,0.20609142725
Baseline,DAM,W_A,24,0.20609142725
Baseline,DAM,W_A,25,0.23156342125
Baseline,DAM,W_A,26,0.23156342125
Baseline,DAM,W_A,27,0.1586209465
Baseline,DAM,W_A,28,0.1586209465
Baseline,DAM,W_A,29,0.188724205
Baseline,DAM,W_A,30,0.188724205
Baseline,DAM,W_A,31,0.39018436775
Baseline,DAM,W_A,32,0.39018436775
Baseline,DAM,W_A,33,1.06056047325
Baseline,DAM,W_A,34,1.06056047325
Baseline,DAM,W_A,35,1.2955973625
Baseline,DAM,W_A,36,1.2955973625
Baseline,DAM,W_A,37,0.885730101
Baseline,DAM,W_A,38,0.885730101
Baseline,DAM,W_A,39,0.57890857275
Baseline,DAM,W_A,40,0.57890857275
Baseline,DAM,W_A,41,0.42028762625
Baseline,DAM,W_A,42,0.42028762625
Baseline,DAM,W_A,43,0.552278743
Baseline,DAM,W_A,44,0.552278743
Baseline,DAM,W_A,45,0.61248526
Baseline,DAM,W_A,46,0.61248526
Baseline,DAM,W_A,47,0.596275795
Baseline,DAM,W_A,48,0.596275795
Baseline,IDA1,IND,1,-71.19710865872659
Baseline,IDA1,IND,2,-71.19710865872659
Baseline,IDA1,IND,3,-65.2671870768009
Baseline,IDA1,IND,4,-65.2671870768009
Baseline,IDA1,IND,5,-64.42414018100577
Baseline,IDA1,IND,6,-64.42414018100577
Baseline,IDA1,IND,7,-66.61496329752148
Baseline,IDA1,IND,8,-66.61496329752148
Baseline,IDA1,IND,9,-69.35406587702495
Baseline,IDA1,IND,10,-69.35406587702495
Baseline,IDA1,IND,11,-72.56278176960724
Baseline,IDA1,IND,12,-72.56278176960724
Baseline,IDA1,IND,13,-78.66188167273619
Baseline,IDA1,IND,14,-78.66188167273619
Baseline,IDA1,IND,15,-86.97293329603056
Baseline,IDA1,IND,16,-86.97293329603056
Baseline,IDA1,IND,17,-92.73488195095847
Baseline,IDA1,IND,18,-92.73488195095847
Baseline,IDA1,IND,19,-98.72028257379802
Baseline,IDA1,IND,20,-98.72028257379802
Baseline,IDA1,IND,21,-89.13067252670912
Baseline,IDA1,IND,22,-89.13067252670912
Baseline,IDA1,IND,23,-81.43059122232123
Baseline,IDA1,IND,24,-81.43059122232123
Baseline,IDA1,IND,25,-77.94765017626473
Baseline,IDA1,IND,26,-77.94765017626473
Baseline,IDA1,IND,27,-82.43602276532211
Baseline,IDA1,IND,28,-82.43602276532211
Baseline,IDA1,IND,29,-86.70741306884503
Baseline,IDA1,IND,30,-86.70741306884503
Baseline,IDA1,IND,31,-86.76956968603625
Baseline,IDA1,IND,32,-86.76956968603625
Baseline,IDA1,IND,33,-84.29907192736573
Baseline,IDA1,IND,34,-84.29907192736573
Baseline,IDA1,IND,35,-84.13364422819963
Baseline,IDA1,IND,36,-84.13364422819963
Baseline,IDA1,IND,37,-81.86449250070888
Baseline,IDA1,IND,38,-81.86449250070888
Baseline,IDA1,IND,39,-79.88667397076921
Baseline,IDA1,IND,40,-79.88667397076921
Baseline,IDA1,IND,41,-78.10063580502221
Baseline,IDA1,IND,42,-78.10063580502221
Baseline,IDA1,IND,43,-77.04608896391595
Baseline,IDA1,IND,44,-77.04608896391595
Baseline,IDA1,IND,45,-76.38699727851285
Baseline,IDA1,IND,46,-76.38699727851285
Baseline,IDA1,IND,47,-75.5772724852481
Baseline,IDA1,IND,48,-75.5772724852481
Baseline,IDA1,COM,1,-57.93793699005237
Baseline,IDA1,COM,2,-58.13661855030709
Baseline,IDA1,COM,3,-51.86008158556274
Baseline,IDA1,COM,4,-52.287118999299686
Baseline,IDA1,COM,5,-47.842037101977
Baseline,IDA1,COM,6,-48.68664115337578
Baseline,IDA1,COM,7,-46.17489350207934
Baseline,IDA1,COM,8,-47.69976840290162
Baseline,IDA1,COM,9,-48.26427383463311
Baseline,IDA1,COM,10,-50.79038773565742
Baseline,IDA1,COM,11,-55.94519554549966
Baseline,IDA1,COM,12,-59.782667472444544
Baseline,IDA1,COM,13,-72.48775804678662
Baseline,IDA1,COM,14,-77.85810699032626
Baseline,IDA1,COM,15,-87.57986894435693
Baseline,IDA1,COM,16,-93.48797855994118
Baseline,IDA1,COM,17,-94.8697193797853
Baseline,IDA1,COM,18,-99.95884781523345
Baseline,IDA1,COM,19,-82.66649412470699
Baseline,IDA1,COM,20,-85.81969994558071
Baseline,IDA1,COM,21,-73.89910771215719
Baseline,IDA1,COM,22,-75.64660821893963
Baseline,IDA1,COM,23,-68.97819254772325
Baseline,IDA1,COM,24,-69.67860130033004
Baseline,IDA1,COM,25,-70.72608834988961
Baseline,IDA1,COM,26,-70.4484676932067
Baseline,IDA1,COM,27,-74.2731405974347
Baseline,IDA1,COM,28,-72.71956135716918
Baseline,IDA1,COM,29,-84.75932165344621
Baseline,IDA1,COM,30,-81.12182659209812
Baseline,IDA1,COM,31,-101.63398154237912
Baseline,IDA1,COM,32,-94.51782037757864
Baseline,IDA1,COM,33,-109.59469946171872
Baseline,IDA1,COM,34,-98.82781231118724
Baseline,IDA1,COM,35,-112.0219597676281
Baseline,IDA1,COM,36,-98.6314235316424
Baseline,IDA1,COM,37,-95.89741198205576
Baseline,IDA1,COM,38,-83.90171244484223
Baseline,IDA1,COM,39,-74.86410244830238
Baseline,IDA1,COM,40,-66.68111942641089
Baseline,IDA1,COM,41,-59.17799309045547
Baseline,IDA1,COM,42,-54.89120709513585
Baseline,IDA1,COM,43,-49.582422120791456
Baseline,IDA1,COM,44,-48.45965244307395
Baseline,IDA1,COM,45,-44.086847017243
Baseline,IDA1,COM,46,-45.20166585529121
Baseline,IDA1,COM,47,-41.167033868009575
Baseline,IDA1,COM,48,-43.51753379569409
Baseline,IDA1,RES,1,-134.18986615122105
Baseline,IDA1,RES,2,-133.99118459096633
Baseline,IDA1,RES,3,-118.60746333763633
Baseline,IDA1,RES,4,-118.18042592389942
Baseline,IDA1,RES,5,-106.24689571701724
Baseline,IDA1,RES,6,-105.40229166561845
Baseline,IDA1,RES,7,-96.45527780039916
