scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
Baseline,DKL_ICE_H,ALL,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
Baseline,DKL_ICE_H,FM,0,0,0,0,0,,,,
Baseline,DKL_ICE_H,DAM,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
Baseline,DKL_ICE_H,IDA1,0,0,0,0,0,,,,
Baseline,DKL_ICE_H,IDA2,0,0,0,0,0,,,,
Baseline,DKL_ICE_H,IDA3,0,0,0,0,0,,,,
Baseline,VAS_ST_H,ALL,179.73129699999998,6298.500731,23408.204121280003,939646.59520544,916238.39108416,130.24000000000004,149.18575631509916,,
Baseline,VAS_ST_H,FM,0,0,0,0,0,,,,
Baseline,VAS_ST_H,DAM,0,6298.500731,0,939646.59520544,939646.59520544,,149.18575631509916,,
Baseline,VAS_ST_H,IDA1,179.73129699999998,0,23408.204121280003,0,-23408.204121280003,130.24000000000004,,,
Baseline,VAS_ST_H,IDA2,0,0,0,0,0,,,,
Baseline,VAS_ST_H,IDA3,0,0,0,0,0,,,,
Baseline,VAS_CCGT_D,ALL,87.80414032,1608.93707144,12346.136629921919,251267.7024467848,238921.5658168629,140.6099596776044,156.17,,
Baseline,VAS_CCGT_D,FM,0,0,0,0,0,,,,
Baseline,VAS_CCGT_D,DAM,0,1608.93707144,0,251267.7024467848,251267.7024467848,,156.17,,
Baseline,VAS_CCGT_D,IDA1,87.80414032,0,12346.136629921919,0,-12346.136629921919,140.6099596776044,,,
Baseline,VAS_CCGT_D,IDA2,0,0,0,0,0,,,,
Baseline,VAS_CCGT_D,IDA3,0,0,0,0,0,,,,
Baseline,DKL_ST_H,ALL,0,0,0,0,0,,,,
Baseline,DKL_ST_H,FM,0,0,0,0,0,,,,
Baseline,DKL_ST_H,DAM,0,0,0,0,0,,,,
Baseline,DKL_ST_H,IDA1,0,0,0,0,0,,,,
Baseline,DKL_ST_H,IDA2,0,0,0,0,0,,,,
Baseline,DKL_ST_H,IDA3,0,0,0,0,0,,,,
Baseline,VAS_GT_D,ALL,0,0,0,0,0,,,,
Baseline,VAS_GT_D,FM,0,0,0,0,0,,,,
Baseline,VAS_GT_D,DAM,0,0,0,0,0,,,,
Baseline,VAS_GT_D,IDA1,0,0,0,0,0,,,,
Baseline,VAS_GT_D,IDA2,0,0,0,0,0,,,,
Baseline,VAS_GT_D,IDA3,0,0,0,0,0,,,,
Baseline,IND,ALL,3608.109064531,50.17254476,518804.0650138305,6915.8538417831205,-511888.21117204736,143.78835443580672,137.84140060794317,3694.481001659451,165.71075981923866
Baseline,IND,FM,27.954336260999998,0,2795.4336261,0,-2795.4336261,100.0,,3694.481001659451,165.71075981923866
Baseline,IND,DAM,3544.55362,0,510656.07296362,0,-510656.07296362,144.06780873119362,,3694.481001659451,165.71075981923866
Baseline,IND,IDA1,26.18680372,44.7878888,3947.0099331612405,5990.8399483826,2043.8300152213592,150.7251505515634,133.76026664562497,3694.481001659451,165.71075981923866
Baseline,IND,IDA2,4.0706405,2.69232786,638.1366519773,462.50692608582,-175.62972589147995,156.76566181103442,171.787,3694.481001659451,165.71075981923866
Baseline,IND,IDA3,5.34366405,2.6923281,767.41183897195,462.5069673147,-304.90487165725006,143.6115429022807,171.78699999999998,3694.481001659451,165.71075981923866
Baseline,COM,ALL,3167.54608956,36.258683403,437883.19504322455,5165.608361301021,-432717.58668192354,138.24051258052899,142.46541452946482,3258.2048108589797,155.45294302179158
Baseline,COM,FM,416.89689372,0,35436.235966199994,0,-35436.235966199994,84.99999999999999,,3258.2048108589797,155.45294302179158
Baseline,COM,DAM,2714.469318,0,396684.052274,0,-396684.052274,146.13687089536668,,3258.2048108589797,155.45294302179158
Baseline,COM,IDA1,34.49586252,26.494686,5497.69945826034,3504.9780643572003,-1992.7213939031399,159.37272057113765,132.28985104247698,3258.2048108589797,155.45294302179158
Baseline,COM,IDA2,1.68401532,3.137959173,265.20734476423,539.060592452151,273.853247687921,157.48511406905135,171.787,3258.2048108589797,155.45294302179158
