scenario,participant,side,price_eur_mwh
Baseline,IND,buy,143.78835443580672
Low RES,IND,buy,143.66609069565595
High RES,IND,buy,142.19331549701317
High demand,IND,buy,145.3372175418327
No revision,IND,buy,143.72298476854272
Double revision,IND,buy,143.867647841158
Reverse revision,IND,buy,143.76374260797087
Baseline,COM,buy,138.24051258052899
Low RES,COM,buy,138.00433319674738
High RES,COM,buy,137.0032111287716
High demand,COM,buy,140.04431662969938
No revision,COM,buy,137.99736570720484
Double revision,COM,buy,138.51597839905295
Reverse revision,COM,buy,138.04937830987814
Baseline,RES,buy,149.83243285907264
Low RES,RES,buy,149.77176536124838
High RES,RES,buy,148.5116911611535
High demand,RES,buy,151.90336656472715
No revision,RES,buy,149.7975013060783
Double revision,RES,buy,149.8733834591019
Reverse revision,RES,buy,149.79845660495124
Baseline,PV_C,sell,99.09033558149356
Low RES,PV_C,sell,85.76928679194843
High RES,PV_C,sell,105.3504178097792
High demand,PV_C,sell,98.32301474351985
No revision,PV_C,sell,99.07260670028016
Double revision,PV_C,sell,99.10804834776278
Reverse revision,PV_C,sell,102.74519104954946
Baseline,PV_A,sell,130.24202224400827
Low RES,PV_A,sell,129.54076439405284
High RES,PV_A,sell,128.0659430058375
High demand,PV_A,sell,127.70567028548588
No revision,PV_A,sell,130.24202225337046
Double revision,PV_A,sell,130.24202224400827
Reverse revision,PV_A,sell,130.0231123004354
Baseline,W_C,sell,135.4554856051212
Low RES,W_C,sell,134.2101894268691
High RES,W_C,sell,136.61171423585623
High demand,W_C,sell,140.51501067422345
No revision,W_C,sell,114.17177401546378
Double revision,W_C,sell,138.35730342453385
Reverse revision,W_C,sell,116.84250568217195
Baseline,W_A,sell,143.60705837246368
Low RES,W_A,sell,146.11873748517257
High RES,W_A,sell,141.5187299163505
High demand,W_A,sell,150.44895991540793
No revision,W_A,sell,145.57258003780427
Double revision,W_A,sell,143.5949685479935
Reverse revision,W_A,sell,146.72964403724086
