scenario,participant,absolute_gap_mwh,supplier_shortfall_mwh,supplier_excess_purchase_mwh
Baseline,IND,14.583139770301003,3.943760589208978e-07,14.583139375924944
Baseline,COM,10.62856312664362,3.2281174355830444e-07,10.628562803831876
Baseline,RESI,19.43768178468908,2.5137922321505357e-07,19.437681533309856
Baseline,PV_C,29.923450890000023,,
Baseline,PV_A,27.75983565000004,,
Baseline,W_C,42.6341829123,,
Baseline,W_A,47.91828722155,,
Low RES,IND,13.970212850300996,3.943760589208978e-07,13.970212455924937
Low RES,COM,9.180706139403156,3.241915109697402e-07,9.180705815211645
Low RES,RESI,16.431336664591715,3.2633053947961344e-07,16.431336338261175
Low RES,PV_C,14.106827380000027,,
Low RES,PV_A,13.479521670000029,,
Low RES,W_C,27.5175520653,,
Low RES,W_A,30.8212907941,,
High RES,IND,4.580031353111622,3.7078135051160643e-07,4.580030982330271
High RES,COM,0.10860544621248636,3.5259618158534067e-07,0.10860509361630477
High RES,RESI,8.293141664591705,3.2633053947961344e-07,8.293141338261165
High RES,PV_C,34.033749409999984,,
High RES,PV_A,17.895964760000087,,
High RES,W_C,67.497067627775,,
High RES,W_A,54.57401653412499,,
High demand,IND,6.910160018980378,5.231743784861465e-07,6.910159495805999
High demand,COM,2.9238405197671113,4.0379683952096457e-07,2.923840115970272
High demand,RESI,7.023994986917387,3.536107655577325e-07,7.023994633306621
High demand,PV_C,14.295016789999991,,
High demand,PV_A,15.241623200000049,,
High demand,W_C,49.340181728000005,,
High demand,W_A,53.71201010905,,
No revision,IND,9.802539722159054e-07,7.231999177292892e-07,2.570540544866162e-07
No revision,COM,5.397268836304647e-07,2.494886075510294e-07,2.902382760794353e-07
No revision,RESI,4.4621469896810595e-07,3.006971098784561e-07,1.4551758908964985e-07
No revision,PV_C,4.2999803007148785e-07,,
No revision,PV_A,5.672240277476703e-07,,
No revision,W_C,8.340000007267534e-08,,
No revision,W_A,7.240000010622083e-07,,
Double revision,IND,29.1662802786374,7.082698516569508e-07,29.16627957036755
Double revision,COM,25.100559160239506,9.512910494891003e-07,25.100558208948456
Double revision,RESI,54.52639295921453,6.272348933578087e-07,54.526392331979636
Double revision,PV_C,66.93652072000002,,
Double revision,PV_A,66.93651910000004,,
Double revision,W_C,91.51239934325001,,
Double revision,W_A,95.39188056049998,,
Reverse revision,IND,7.942231405877465e-07,3.9688571007445717e-07,3.973374305132893e-07
Reverse revision,COM,7.133813113568976e-07,2.578179589818319e-07,4.5556335237506573e-07
Reverse revision,RESI,9.097840241167887e-07,2.8174072141951e-07,6.280433026972787e-07
Reverse revision,PV_C,49.34028250999995,,
Reverse revision,PV_A,49.1181409,,
Reverse revision,W_C,5.196983270099999,,
Reverse revision,W_A,4.4140488088000005,,
