mtu_minutes,stage,volume_mwh,vwap_eur_mwh,bid_surplus_eur,rejected_blocks
60,DAM,11389.366757,147.52500808820693,4307582.937292734,1
60,IDA1,1217.6167602799999,151.39667369779335,333097.5948980132,0
60,IDA2,586.340087487,149.16928020450115,27531.42140914012,0
60,IDA3,396.0002867055,146.1618812166011,23202.002083388878,0
30,DAM,11389.366758,147.5250080921101,4307582.936456977,1
30,IDA1,1217.61675949,151.39667350763233,333097.5956901259,0
30,IDA2,545.5825054738,149.0403601076637,28581.036966141735,0
30,IDA3,374.7129895955,145.678865956397,21524.71865519687,0
15,DAM,11389.366748,147.5250080795326,4307582.933473506,1
15,IDA1,1217.61677502,151.39667407377345,333097.5993317083,0
15,IDA2,498.3652367906,148.25956738145567,27808.662975885887,0
15,IDA3,382.98122827433,145.91890163812167,21247.113181956407,0
