variant,stage,vwap,volume,bid_surplus,extra_zero_surplus_mwh
Baseline,DAM,147.5250080921101,11389.366758,4307582.936456982,0.0
Baseline,IDA1,150.47280858776713,1417.6435861075797,333097.5940343102,200.02683003757977
Baseline,IDA2,145.8853815648524,650.994332417034,25050.543031232854,42.181527691434
Baseline,IDA3,147.44684544253568,466.5275728425758,21043.016901683328,44.96397040587586
Low RES,DAM,147.4045618233273,11389.366758,4254638.472254743,0.0
Low RES,IDA1,151.76646931821293,1330.711231150292,331867.9428617066,140.0187842002919
Low RES,IDA2,145.59832746423865,631.9539354777891,25388.821702328358,31.416324937789135
Low RES,IDA3,146.92869285928066,456.174627773125,20761.61489841837,31.416325241525
Markup 5%,DAM,147.5250080921101,11389.366758,4307582.936456982,0.0
Markup 5%,IDA1,145.39134389097336,1417.6435861075797,336344.57241613953,200.02683003757977
Markup 5%,IDA2,140.47073425204357,650.994332417034,25009.08601877251,42.181527691434
Markup 5%,IDA3,142.44215674393996,466.5275728425758,19789.78063348052,44.96397040587586
Markup 20%,DAM,147.5250080921101,11389.366758,4307582.936456982,0.0
Markup 20%,IDA1,157.58607166508392,1592.7091137075797,327532.18494648265,200.02683003757977
Markup 20%,IDA2,161.16164216213917,417.30926849905075,36316.60366846044,49.77472991345075
Markup 20%,IDA3,161.76795498127692,404.67961512017195,33409.91900076227,49.77817404347194
CBC allocation,DAM,147.5250080921101,11389.366758,4307582.936456982,0
CBC allocation,IDA1,151.39667350763233,1217.61675949,333097.5956887204,0
CBC allocation,IDA2,149.0403601076637,545.5825054738,28581.036966141754,0
CBC allocation,IDA3,145.678865956397,374.7129895955,21524.71865519684,0
Pro rata only,DAM,147.5250080921101,11389.366758,4307582.936456982,0.0
Pro rata only,IDA1,151.39667348125982,1217.61675607,333097.5940343102,0.0
Pro rata only,IDA2,146.6678783018074,468.0949954856,21630.6730953794,0.0
Pro rata only,IDA3,148.67431535430373,325.3483995176,18199.241215938717,0.0
