variant,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
Baseline,DKL_ICE_H,ALL,0,2518.186459125335,0,362854.5891721649,362854.5891721649,,144.09361461589248,,
Baseline,VAS_ST_H,ALL,179.73129699999998,6589.9245166066075,23408.20412128,982183.3710309305,958775.1669096506,130.24,149.04318988113275,,
Baseline,VAS_CCGT_D,ALL,481.46989651999996,2234.9398793690234,68694.85446830292,345532.92171460134,276838.0672462984,142.67736148162146,154.60501864244935,,
Baseline,DKL_ST_H,ALL,497.10342772,595.2490773227806,73438.3503513898,91395.56907428238,17957.218722892576,147.73253664377248,153.5417232150065,,
Baseline,VAS_GT_D,ALL,55.8883394415,62.83184705043316,8291.690415689061,9647.310068905199,1355.6196532161375,148.36172444107456,153.541723215006,,
Baseline,IND,ALL,3908.135837522759,201.18753127126718,564748.134748741,29190.613356432415,-535557.5213923086,144.50575881382787,145.09156294121348,3694.481001659451,12.467305359941506
Baseline,COM,ALL,3453.913472753075,186.23604989228977,481657.1940073514,27190.834070967376,-454466.359936384,139.45259422594276,146.00199095015859,3258.2048108589797,9.472612742613855
Baseline,RESI,ALL,5551.470145938666,224.06408006271315,835544.0062121089,32993.56396129024,-802550.4422508186,150.50860118979017,147.2505720330349,5306.460482681569,20.945583907325087
Baseline,PV_C,ALL,100.01341597790304,744.8348639535341,14486.84290385703,76024.54869041117,61537.70578655414,144.84899612925682,102.06899860578211,644.8214478,2.0569864331996992e-07
Baseline,PV_A,ALL,100.01341405967678,744.8348620353061,14486.84263014403,97681.93599454769,83195.09336440366,144.84899617065275,131.14576260249947,644.8214478,2.0570048435432072e-07
Baseline,W_C,ALL,57.89305203745135,170.6180936886146,8755.0073240349,23053.948127415384,14298.940803380485,151.22725466902722,135.12018349876675,124.35534662425,11.630304973086753
Baseline,W_A,ALL,57.89305204065852,170.61809363877512,8755.00732458585,24516.929270815195,15761.921946229346,151.2272546701662,143.69477907027448,124.35534662425,11.630305026133408
Low RES,DKL_ICE_H,ALL,0,2457.8849050445206,0,354825.85312878626,354825.85312878626,,144.36227359570327,,
Low RES,VAS_ST_H,ALL,152.98850099999999,7237.812591847862,19925.22237024,1069905.194430672,1049979.9720604322,130.24,147.82162163686505,,
Low RES,VAS_CCGT_D,ALL,478.65364859,2059.8310073222215,68844.0799472651,318450.47868305823,249606.39873579313,143.8285911954571,154.60029368964766,,
Low RES,DKL_ST_H,ALL,500.44984437,602.3423811852688,73864.84015442731,92451.75716474208,18586.917010314777,147.59688904971756,153.4870532981901,,
Low RES,VAS_GT_D,ALL,56.41102267,63.580584679207384,8365.05150397045,9758.796589396661,1393.7450854262115,148.28753509585061,153.48705329833274,,
Low RES,IND,ALL,3908.7206164420727,203.50357019367547,564197.4200181426,29526.34648030137,-534671.0735378412,144.34324562488308,145.09006624405157,3694.481001659451,10.736045190974394
Low RES,COM,ALL,3454.390163132065,188.06580052997154,481414.9384875033,27443.37097102416,-453971.5675164792,139.36322064181905,145.92430358783167,3258.2048108589797,8.11955229714546
Low RES,RESI,ALL,5552.571501240362,228.206559525642,835625.0533364073,33682.44503589821,-801942.608300509,150.49334405684667,147.59630532054686,5306.460482681569,17.90445965789541
Low RES,PV_C,ALL,70.00939176000001,521.3844052519902,10065.306486673902,46682.22606490781,36616.91957823391,143.77080322564282,89.53514066525605,451.37501345999993,1.2899713519587408e-07
Low RES,PV_A,ALL,70.00939244029186,521.3844059322805,10065.306589922267,67998.53611491293,57933.22952499066,143.77080330337895,130.41919808346714,451.37501345999993,1.2899861717913848e-07
Low RES,W_C,ALL,41.49778620045707,121.60172877993668,6222.822222165505,16313.076355853193,10090.254133687687,149.95552273814945,134.15168122630112,87.04874263697499,6.944800057495379
Low RES,W_A,ALL,41.49778620045707,121.60172877300354,6222.822222165504,17774.784319977087,11551.962097811582,149.95552273814943,146.17213504552754,87.04874263697499,6.944800064428512
Markup 5%,DKL_ICE_H,ALL,0,2518.186459125335,0,362853.95125028474,362853.95125028474,,144.09336128998095,,
Markup 5%,VAS_ST_H,ALL,179.73129699999998,6589.9245166066075,23408.20412128,980249.8812208348,956841.6770995548,130.24,148.74978897718864,,
Markup 5%,VAS_CCGT_D,ALL,481.46989651999996,2234.9398793690234,66857.37115400616,341248.1390211582,274390.76786715206,138.8609581559352,152.6878383491464,,
Markup 5%,DKL_ST_H,ALL,497.10342772,595.2490773227806,71376.0402050693,87241.22502595614,15865.184820886847,143.58388259851787,146.56255397880875,,
Markup 5%,VAS_GT_D,ALL,55.8883394415,62.83184705043316,8070.892308264058,9208.795974915583,1137.9036666515258,144.41102363959305,146.5625539787804,,
Markup 5%,IND,ALL,3908.135837522759,201.18753127126718,562476.5900708444,28603.250950248494,-533873.339120596,143.9245239815871,142.1720857625211,3694.481001659451,12.467305359941506
Markup 5%,COM,ALL,3453.913472753075,186.23604989228977,479462.9701413431,26625.74066542924,-452837.22947591386,138.8173079388606,142.9677051292074,3258.2048108589797,9.472612742613855
Markup 5%,RESI,ALL,5551.470145938666,224.06408006271315,833068.5819967943,32802.573071633065,-800266.0089251612,150.06269692475047,146.39817797860314,5306.460482681569,20.945583907325087
Markup 5%,PV_C,ALL,100.01341597790304,744.8348639535341,13828.350044590801,75723.97529937752,61895.62525478672,138.26495085065423,101.6654549404947,644.8214478,2.0569864331996992e-07
Markup 5%,PV_A,ALL,100.01341405967678,744.8348620353061,13828.349783319301,97381.36260351403,83553.01282019474,138.26495089016854,130.74221893617278,644.8214478,2.0570048435432072e-07
Markup 5%,W_C,ALL,57.89305203745135,170.6180936886146,8412.67443097084,22900.411262734266,14487.736831763426,145.31405988975382,134.2202973181057,124.35534662425,11.630304973086753
