scenario,stage,price_min,price_mean,price_max,volume_mwh,target_gap_mwh,pre_gap_mwh,active_periods,active_price_mean,social_welfare,rejected_blocks
Baseline,DAM,125.3,144.07958333333332,156.17,11389.366758,9.056204656593403e-05,12353.211087981,48,144.07958333333332,4307582.936456977,1
Baseline,IDA1,130.24,152.30458333333334,171.787,384.50206399,1208.2070504345827,1709.6757386553002,48,152.30458333333334,7050.954247547658,0
Baseline,IDA2,0.0,47.614666666666665,171.787,21.259655893,946.7106674599634,989.2299789611478,14,163.25028571428572,658.7828408862923,0
Baseline,IDA3,0.0,49.18445833333334,171.787,31.51608772,695.0979339224917,758.1301093305996,15,157.39026666666666,945.0892404181204,0
Low RES,DAM,125.3,143.87375,156.17,11389.366758,8.640254656780422e-05,11908.359858,48,143.87375,4254638.472254741,1
Low RES,IDA1,130.24,153.37958333333333,171.787,322.711939372,1151.53720171535,1556.3499496172003,48,153.37958333333333,5704.407875406425,0
Low RES,IDA2,0.0,32.4784375,171.787,13.164916484,902.6863827924745,929.0162155853668,10,155.8965,409.04260691206235,0
Low RES,IDA3,0.0,39.636229166666666,171.787,20.490178614999998,653.8355665120537,694.8159233664747,12,158.54491666666667,633.2278833911902,0
High RES,DAM,125.3,142.38166666666666,156.17,11389.366758,9.219654654607501e-05,12798.062317962,48,142.38166666666666,4365277.7698965855,0
High RES,IDA1,130.24,151.195625,171.787,556.474119908,1162.255301065049,1863.0015387774001,48,151.195625,9681.057161733617,0
High RES,IDA2,0.0,39.7494375,171.787,36.49566093,933.5412792262682,1006.5326009537758,12,158.99775,1109.2132166954443,0
High RES,IDA3,0.0,54.2199375,171.787,34.900987334,736.6659007950758,806.4678752297176,17,153.09158823529413,1029.1925968984124,0
High demand,DAM,125.3,145.62291666666667,156.17,13175.62072,0.00011442933542585298,14139.465066681,48,145.62291666666667,4947731.096911253,0
High demand,IDA1,137.83,153.678125,171.787,416.20053202,1355.9768440233904,1889.4642447862996,48,153.678125,7886.754710684611,0
High demand,IDA2,0.0,37.797312500000004,171.787,32.3509972822,1028.2238086532557,1092.9258023108757,12,151.18925000000002,1003.8317179425925,0
High demand,IDA3,0.0,63.1744375,171.787,35.7486387,740.3233443977621,811.820621368068,20,151.61865,1056.3082621286303,0
No revision,DAM,125.3,144.07958333333332,156.17,11389.366758,9.056204656593403e-05,12353.211087981,48,144.07958333333332,4307582.936456977,1
No revision,IDA1,0.0,125.68370833333333,171.787,4.69088453572e-05,3.2288313185857564e-05,9.056204656593403e-05,0,,0.000848481829986079,0
No revision,IDA2,0.0,0.0,0.0,0.0,3.228830620122247e-05,3.2288313185857564e-05,0,,9.894700000000008e-11,0
No revision,IDA3,0.0,0.0,0.0,0.0,3.228829921658738e-05,3.228830620122247e-05,0,,9.894700000000008e-11,0
Double revision,DAM,125.3,144.07958333333332,156.17,11389.366758,9.056204656593403e-05,12353.211087981,48,144.07958333333332,4307582.936456977,1
Double revision,IDA1,130.24,152.30458333333334,171.787,681.52023153,2503.8980259356094,3419.3514986123005,48,152.30458333333334,12735.672601220524,0
Double revision,IDA2,0.0,43.385062500000004,171.787,37.7137032,1946.0783030507062,2021.505708962775,13,160.191,1167.4672984988206,0
Double revision,IDA3,0.0,55.04083333333334,171.787,60.7160255,1388.2585898934515,1509.69064028824,17,155.40941176470588,1817.83596534187,0
Reverse revision,DAM,125.3,144.07958333333332,156.17,11389.366758,9.056204656593403e-05,12353.211087981,48,144.07958333333332,4307582.936456977,1
Reverse revision,IDA1,0.0,106.59845833333333,156.17,1116.488957586,328.4681612794343,1476.7461345586996,36,142.13127777777777,15236.499106483481,0
Reverse revision,IDA2,0.0,63.11870833333334,171.787,9.144691236,512.9224182049852,531.2118006246682,18,168.31655555555557,285.62527836291986,0
Reverse revision,IDA3,0.0,70.38945833333334,171.787,9.21118415,707.3103141937464,725.7326823896159,20,168.93470000000002,285.80473062356856,0
