variant,participant,above_signed_target_mwh,below_signed_target_mwh,absolute_gap_mwh
Baseline,IND,3.839504358893464e-07,12.46730497599107,12.467305359941506
Baseline,COM,3.704043578522942e-07,9.472612372209497,9.472612742613855
Baseline,RESI,3.564707071745943e-07,20.94558355085438,20.945583907325087
Baseline,PV_C,1.906648838811975e-07,1.503375943877241e-08,2.0569864331996992e-07
Baseline,PV_A,1.906648838811975e-07,1.5035600473123204e-08,2.0570048435432072e-07
Baseline,W_C,0.0,11.630304973086753,11.630304973086753
Baseline,W_A,0.0,11.630305026133408,11.630305026133408
Low RES,IND,3.0101415404715226e-07,10.73604488996024,10.736045190974394
Low RES,COM,2.7701587868023125e-07,8.119552020129582,8.11955229714546
Low RES,RESI,3.123723786302435e-07,17.90445934552303,17.90445965789541
Low RES,PV_C,8.049366817530768e-08,4.8503467020566404e-08,1.2899713519587408e-07
Low RES,PV_A,8.049366817530768e-08,4.850494900383081e-08,1.2899861717913848e-07
Low RES,W_C,0.0,6.944800057495379,6.944800057495379
Low RES,W_A,0.0,6.944800064428512,6.944800064428512
Markup 5%,IND,3.839504358893464e-07,12.46730497599107,12.467305359941506
Markup 5%,COM,3.704043578522942e-07,9.472612372209497,9.472612742613855
Markup 5%,RESI,3.564707071745943e-07,20.94558355085438,20.945583907325087
Markup 5%,PV_C,1.906648838811975e-07,1.503375943877241e-08,2.0569864331996992e-07
Markup 5%,PV_A,1.906648838811975e-07,1.5035600473123204e-08,2.0570048435432072e-07
Markup 5%,W_C,0.0,11.630304973086753,11.630304973086753
Markup 5%,W_A,0.0,11.630305026133408,11.630305026133408
Markup 20%,IND,4.097618671039527e-07,1.4310096219105617e-07,5.528628292950089e-07
Markup 20%,COM,3.905360870248842e-07,1.229637831556829e-07,5.134998701805671e-07
Markup 20%,RESI,4.0221924990646585e-07,1.7364396853736253e-07,5.758632184438284e-07
Markup 20%,PV_C,1.9064732637019688e-07,1.5614317262809397e-08,2.0626164363300628e-07
Markup 20%,PV_A,1.9064732637019688e-07,1.561615829716019e-08,2.0626348466735707e-07
Markup 20%,W_C,0.0,1.3433732060086356e-07,1.3433732060086356e-07
Markup 20%,W_A,0.0,1.3433732060086356e-07,1.3433732060086356e-07
CBC allocation,IND,3.943760589208978e-07,14.583139375924944,14.583139770301003
CBC allocation,COM,3.2281174355830444e-07,9.95708708383188,9.957087406643623
CBC allocation,RESI,2.5137922321505357e-07,19.437681533309856,19.43768178468908
CBC allocation,PV_C,29.923450870000003,2.0000019418375814e-08,29.923450890000023
CBC allocation,PV_A,27.759835650000028,1.0658141036401503e-14,27.75983565000004
CBC allocation,W_C,33.568474737675,9.065708174625001,42.6341829123
CBC allocation,W_A,35.48726709575,13.1024958458,48.58976294155
Pro rata only,IND,3.04942489037785e-07,12.46730504580664,12.467305350749129
Pro rata only,COM,2.911224399326784e-07,9.472612433457101,9.472612724579541
Pro rata only,RESI,3.076194516893338e-07,20.945583578583573,20.945583886203025
Pro rata only,PV_C,45.37661942926294,8.632528928205442e-10,45.37661943012619
Pro rata only,PV_A,45.37661751515258,8.650939271713379e-10,45.376617516017674
Pro rata only,W_C,43.22273450794188,11.630304948133986,54.85303945607586
Pro rata only,W_A,43.22273451114904,11.630305001180641,54.85303951232968
