mtu_minutes,periods,repeat,total_seconds,DAM,IDA1,IDA2,IDA3
60,24,1,0.44963100000313716,0.17604530000244267,0.07371179999609012,0.09271669999725418,0.07597560000431258
60,24,2,0.5650165000042762,0.18671619999804534,0.06784769999649143,0.20575100000132807,0.08652599999913946
60,24,3,0.4647853999995277,0.21726899999339366,0.06666350000159582,0.08554930000536842,0.0752991999979713
60,24,4,0.38652400000137277,0.18167930000345223,0.05697579999832669,0.05846000000019558,0.07270810000045458
60,24,5,0.37999090000084834,0.18480519999866374,0.04077770000003511,0.08339770000020508,0.0548417000027257
30,48,1,1.010669200004486,0.25660059999790974,0.08359940000082133,0.08850220000022091,0.5218557999978657
30,48,2,0.46330200000375044,0.19714309999835677,0.08664099999441532,0.07265940000070259,0.05132639999646926
30,48,3,0.40623760000016773,0.16744089999701828,0.056380199996056035,0.06722699999954784,0.05964430000312859
30,48,4,0.419215299996722,0.1627267000003485,0.08257249999587657,0.06432409999979427,0.055393199996615294
30,48,5,0.35109080000256654,0.1354773999992176,0.05070580000028713,0.06239150000328664,0.05037350000202423
15,96,1,0.722121300001163,0.22249839999858523,0.0786727999948198,0.07721699999819975,0.1487725999977556
15,96,2,0.8153278000027058,0.25324820000241743,0.09916290000546724,0.09547549999842886,0.09429159999854164
15,96,3,1.4301653000002261,0.8076539000030607,0.11617340000520926,0.14247980000072857,0.10106760000053328
15,96,4,0.7415955000033136,0.22808520000398858,0.08410360000561923,0.08114639999985229,0.09772410000005038
15,96,5,0.771635699995386,0.2657838000013726,0.0902907999989111,0.09766530000342755,0.10733790000085719
