scenario,stage,balance_mwh,cumulative_balance_mwh,capacity_violation_mwh,target_gap_mwh,max_cash_residual_eur
Baseline,DAM,7.080000003767406e-06,7.07999999333131e-06,0.0,9.056204656593403e-05,0.001107401472403069
Baseline,IDA1,3.9999999956741306e-07,7.089999992104801e-06,0.0,1208.2070504345827,0.001107401472403069
Baseline,IDA2,1.0000000272292198e-08,7.089999992104801e-06,0.0,946.7106674599634,0.001107401472403069
Baseline,IDA3,1.0999999999761201e-07,7.089999992104801e-06,0.0,695.0979339224917,0.001107401472403069
Low RES,DAM,9.659999997135849e-06,9.659999986699752e-06,0.0,8.640254656780422e-05,0.0015092893492134607
Low RES,IDA1,3.000000017294724e-07,9.663999989806271e-06,0.0,1151.53720171535,0.0015092893492134607
Low RES,IDA2,1.0000000272292198e-08,9.663999989806271e-06,0.0,902.6863827924745,0.0015092893492134607
Low RES,IDA3,7.999999968033578e-08,9.663999989806271e-06,0.0,653.8355665120537,0.0015092893492134607
High RES,DAM,7.999999994012796e-06,7.9999999980096e-06,0.0,9.219654654607501e-05,0.0010288959992692526
High RES,IDA1,3.9999999934536845e-07,7.89999998573876e-06,0.0,1162.255301065049,0.0010288959992692526
High RES,IDA2,6.999999990764394e-08,7.89999998573876e-06,0.0,933.5412792262682,0.0010288959992692526
High RES,IDA3,1.0000000028043132e-07,7.89999998573876e-06,0.0,736.6659007950758,0.0010288959992692526
High demand,DAM,8.609999996911366e-06,8.609999998299145e-06,0.0,0.00011442933542585298,0.0013446236979950399
High demand,IDA1,4.000000011217253e-07,8.609999999853457e-06,0.0,1355.9768440233904,0.0013446236979950399
High demand,IDA2,1.0000000005838672e-07,8.609999999853457e-06,0.0,1028.2238086532557,0.0013446236979950399
High demand,IDA3,1.0000000028043132e-07,8.609999999853457e-06,0.0,740.3233443977621,0.0013446236979950399
No revision,DAM,7.080000003767406e-06,7.07999999333131e-06,0.0,9.056204656593403e-05,0.0011056836133358284
No revision,IDA1,7.000000014804544e-14,7.080000057280156e-06,0.0,3.2288313185857564e-05,0.0011056836133358284
No revision,IDA2,0.0,7.080000057280156e-06,0.0,3.228830620122247e-05,0.0011056836133358284
No revision,IDA3,0.0,7.080000057280156e-06,0.0,3.228829921658738e-05,0.0011056836133358284
Double revision,DAM,7.080000003767406e-06,7.07999999333131e-06,0.0,9.056204656593403e-05,0.0011056836024039285
Double revision,IDA1,1.4000000039260385e-06,7.079999990833308e-06,0.0,2503.8980259356094,0.0011056836024039285
Double revision,IDA2,9.999999983634211e-08,7.079999990833308e-06,0.0,1946.0783030507062,0.0011056836024039285
Double revision,IDA3,1.0000000028043132e-07,7.079999990833308e-06,0.0,1388.2585898934515,0.0011056836024039285
Reverse revision,DAM,7.080000003767406e-06,7.07999999333131e-06,0.0,9.056204656593403e-05,0.0011617330155644368
Reverse revision,IDA1,9.21999995913414e-07,7.44000000224565e-06,0.0,328.4681612794343,0.0011617330155644368
Reverse revision,IDA2,6.000000030148556e-08,7.439999996750046e-06,0.0,512.9224182049852,0.0011617330155644368
Reverse revision,IDA3,5.0000000251237964e-08,7.4389999946689045e-06,0.0,707.3103141937464,0.0011617330155644368
